X_test,y_hat_0,y_hat_1,y_hat_2,y_hat_3,y_hat_4,y_hat_5,y_hat_6,y_hat_7,y_hat_8,y_hat_9,y_hat_10,y_hat_11,y_hat_12,y_hat_13,y_hat_14,y_hat_15,y_hat_16,y_hat_17,y_hat_18,y_hat_19,y_hat_20,y_hat_21,y_hat_22,y_hat_23,y_hat_24,y_hat_25,y_hat_26,y_hat_27,y_hat_28,y_hat_29,y_hat_30,y_hat_31,y_hat_32,y_hat_33,y_hat_34,y_hat_35,y_hat_36,y_hat_37,y_hat_38,y_hat_39,y_hat_40,y_hat_41,y_hat_42,y_hat_43,y_hat_44,y_hat_45,y_hat_46,y_hat_47,y_hat_48,y_hat_49,y_hat_50,y_hat_51,y_hat_52,y_hat_53,y_hat_54,y_hat_55,y_hat_56,y_hat_57,y_hat_58,y_hat_59,y_hat_60,y_hat_61,y_hat_62,y_hat_63,y_hat_64,y_hat_65,y_hat_66,y_hat_67,y_hat_68,y_hat_69,y_hat_70,y_hat_71,y_hat_72,y_hat_73,y_hat_74,y_hat_75,y_hat_76,y_hat_77,y_hat_78,y_hat_79,y_hat_80,y_hat_81,y_hat_82,y_hat_83,y_hat_84,y_hat_85,y_hat_86,y_hat_87,y_hat_88,y_hat_89,y_hat_90,y_hat_91,y_hat_92,y_hat_93,y_hat_94,y_hat_95,y_hat_96,y_hat_97,y_hat_98,y_hat_99
0.0,4.827976e-06,0.0052909255,0.0003824234,-0.0004669428,-3.7252903e-06,-0.00068980455,4.3213367e-05,0.00012922287,-1.2099743e-05,-3.4570694e-05,-3.9339066e-06,-0.0031526685,-1.1920929e-07,-6.8068504e-05,8.940697e-07,-0.0035250187,0.00077837706,-1.9073486e-06,-2.8252602e-05,3.7670135e-05,-0.002956599,-0.0035459995,-0.017014027,-1.847744e-06,0.00073713064,0.00010114908,-0.00027668476,0.00017875433,0.003155768,0.0001538992,0.004873663,-0.00011369586,-1.7881393e-07,-0.0002592206,0.00094616413,0.016414613,0.0015519261,-0.013363302,0.0029835105,-0.0005828142,1.7881393e-07,-7.2300434e-05,-2.3841858e-07,-0.00028848648,-0.00034165382,0.0002464056,-5.9604645e-08,1.1771917e-05,-0.0003118515,0.0068721175,0.0018410087,0.0011581182,-0.0002413392,5.018711e-05,-3.2424927e-05,1.9669533e-06,0.00011444092,0.00010621548,-0.0071264505,1.8417835e-05,0.00018370152,-0.004452616,2.7418137e-06,0.0018069744,-7.1525574e-07,2.3305416e-05,-9.5009804e-05,1.40070915e-05,2.7060509e-05,1.8954277e-05,2.9802322e-07,0.031939536,-0.006973684,0.00015348196,-0.0009570718,-0.0022358298,1.6331673e-05,-0.00011897087,0.00086152554,-6.1392784e-06,5.3226948e-05,0.00018370152,1.3709068e-06,0.002100587,5.7697296e-05,0.00013720989,9.75728e-05,-0.0001322031,-0.0013566613,-0.016904533,3.5226345e-05,-4.172325e-07,0.0,-6.556511e-06,0.00031924248,0.0020150542,7.5101852e-06,-0.0025023818,3.5583973e-05,6.818771e-05
0.01,0.013208747,0.014664769,0.013173819,0.013693213,0.012595326,0.013508558,0.013409853,0.010655999,0.011235774,0.009024799,0.010094523,0.0036471486,0.013135016,0.008591205,0.012626469,0.004214704,0.013116717,0.011418521,0.014981627,0.008868635,0.008253515,0.018116355,-0.00992763,0.0081781745,0.017533004,0.010197818,0.0098183155,0.009929001,0.013567954,0.013712406,0.013588309,-0.00011369586,0.009011686,0.015010297,0.009257376,0.023111105,0.012256026,-0.002562523,0.020306528,0.01173836,0.0030981898,0.007188678,0.010478914,0.018518269,0.0069719553,0.009195983,0.0057245493,0.0129185915,0.00469321,0.018025279,0.012310624,0.015540421,0.0071668923,0.011115432,0.015034258,0.0110679865,0.01187259,0.009189248,0.0023706555,0.015714526,0.039276183,0.012405008,0.010122657,0.008828044,0.011226177,0.01661688,0.0154984,0.0067484975,0.011084795,0.011526406,0.008090377,0.040911227,0.006583214,0.016709685,0.009596109,0.00988555,0.007848144,0.010424554,0.0062446594,0.013581216,0.016206622,0.011267543,0.007414937,0.02820319,0.009159088,0.014112711,0.013846278,0.01686126,0.010425568,-0.00835675,0.013943315,0.012292266,0.013074338,0.011770606,0.005047679,0.010716081,0.029455125,0.0077108145,0.0074687004,0.010118008
0.02,0.026412547,0.024038613,0.025965571,0.027855217,0.025557697,0.027751625,0.026776671,0.021182895,0.022483766,0.018084168,0.020291269,0.010446787,0.02627021,0.017250776,0.025497317,0.011954784,0.025455058,0.02283895,0.029991746,0.017699659,0.01952362,0.039779007,-0.0028412342,0.016358256,0.03433031,0.020294428,0.019913375,0.019678831,0.024481982,0.027271032,0.022329152,-0.00011369586,0.01802364,0.030279577,0.017583609,0.029807746,0.022960097,0.008238256,0.03828311,0.024059415,0.006195903,0.014449537,0.020957828,0.03732401,0.014334381,0.018302202,0.011832058,0.025825173,0.010091662,0.029225051,0.02278161,0.029922962,0.014575243,0.022180796,0.030101001,0.022133946,0.02372706,0.01827252,0.011868,0.031410575,0.07869828,0.029262811,0.020242512,0.015848994,0.022452831,0.033210516,0.031091869,0.0134830475,0.022142798,0.023052871,0.016180456,0.049883187,0.02127397,0.033266068,0.02014935,0.022007167,0.015679657,0.020997286,0.011627734,0.02716893,0.032359898,0.022351444,0.0148281455,0.05430579,0.018259943,0.029229939,0.027594984,0.034150362,0.022207975,0.00019097328,0.027851582,0.02458483,0.026148617,0.023547769,0.009775877,0.019417405,0.058923006,0.018262804,0.014901757,0.020198345
0.03,0.039616883,0.033412516,0.038757205,0.04201752,0.038569033,0.04328543,0.04014337,0.03170979,0.03373182,0.027143538,0.030241907,0.017246425,0.039405584,0.025910228,0.038368165,0.019702256,0.03779328,0.03425932,0.045001566,0.026530683,0.030793935,0.06144148,0.0042451024,0.024536133,0.05113274,0.030391037,0.030008316,0.0294289,0.035754353,0.04082948,0.031150937,-0.00011369586,0.027035594,0.045549035,0.025923729,0.036563426,0.033664137,0.019038856,0.056474805,0.0408265,0.009293795,0.021710455,0.03143704,0.056129426,0.021903843,0.02759415,0.01799053,0.03873211,0.015657604,0.040424883,0.033273935,0.044305563,0.021983564,0.03324604,0.045167625,0.033199787,0.03558147,0.027355552,0.021365047,0.047106683,0.11812037,0.046120405,0.030362308,0.022869945,0.03390187,0.049803913,0.046685547,0.020217717,0.033076257,0.034579337,0.024270415,0.058854878,0.039411962,0.04981804,0.030702412,0.034128547,0.02351129,0.031569898,0.017010897,0.040832162,0.048872173,0.033435106,0.022241533,0.080408335,0.027361035,0.045573354,0.04134369,0.05170417,0.03480518,0.008738637,0.04175973,0.036877275,0.039223075,0.035324633,0.014504075,0.02811867,0.08839083,0.029156983,0.022334814,0.030321479
0.04,0.054465532,0.04278648,0.05154884,0.05617982,0.05158037,0.058888674,0.053492576,0.042236775,0.0450387,0.036202908,0.040143788,0.024269521,0.0525406,0.034715533,0.051238894,0.0274899,0.05013174,0.045679808,0.060011625,0.035361648,0.04206401,0.08310419,0.011331499,0.032713532,0.06793511,0.040487647,0.040106654,0.03917879,0.04714921,0.054388106,0.03997305,-0.00011369586,0.03604746,0.060818374,0.03426391,0.043757945,0.044368237,0.029839635,0.078372866,0.06494802,0.012391508,0.028971314,0.041916132,0.07493493,0.029473424,0.036886394,0.02414918,0.0516569,0.021223664,0.051624537,0.044802427,0.058687806,0.029391855,0.044311225,0.060234368,0.044265687,0.04778886,0.036438704,0.030862302,0.06280291,0.15754223,0.06271094,0.040482163,0.03033346,0.04770398,0.06639761,0.062279135,0.027027309,0.043912917,0.046163797,0.032360494,0.06782448,0.059735,0.06636655,0.04160738,0.046250045,0.03212887,0.04214251,0.022393793,0.054513812,0.067224085,0.044518888,0.030453205,0.10651106,0.036462247,0.06191671,0.055092514,0.069258034,0.048518956,0.0172863,0.055667818,0.04916984,0.052297354,0.047101796,0.019229889,0.036819756,0.11785871,0.0401783,0.02976793,0.040444613
0.05,0.070289075,0.052160323,0.06434035,0.070342064,0.064653814,0.07449204,0.066839606,0.05276361,0.056363344,0.045262396,0.05004573,0.031499743,0.065675616,0.043573707,0.06410968,0.035341144,0.06246996,0.057100177,0.075021565,0.04419279,0.053334355,0.104766846,0.018417895,0.04089099,0.08473748,0.050584316,0.050214738,0.048928916,0.058547527,0.06794661,0.048794806,-0.00011369586,0.045059323,0.07608771,0.04260397,0.051763713,0.055072308,0.040640354,0.100370824,0.089069605,0.015489459,0.036232352,0.052395165,0.0937404,0.037043005,0.04617864,0.030641198,0.06487468,0.026789665,0.06347555,0.057293028,0.07307035,0.036302954,0.05537659,0.07530111,0.055674672,0.06066215,0.045521855,0.04039395,0.07845223,0.19718745,0.07915419,0.05060199,0.03785467,0.061506152,0.08299106,0.07787278,0.034204066,0.05474949,0.057987303,0.040450513,0.07679397,0.08511895,0.08291525,0.053936124,0.058371574,0.041663527,0.052715182,0.027776897,0.06819546,0.08563256,0.055602968,0.039844573,0.13261366,0.047792733,0.07826036,0.06884122,0.08681178,0.062232673,0.025834024,0.069575965,0.061462402,0.06537163,0.05887896,0.023955643,0.04552114,0.14732641,0.05141437,0.037200987,0.050492883
0.06,0.08688921,0.061534286,0.077130854,0.08450413,0.07783595,0.090525955,0.080186605,0.06329051,0.06768823,0.054321706,0.059949398,0.039226055,0.07881093,0.052431732,0.07746792,0.043219894,0.07481748,0.068520606,0.090031445,0.053023696,0.06460446,0.12660193,0.025504231,0.04906839,0.10153991,0.060680866,0.06032279,0.058678806,0.06994602,0.08150512,0.05761683,-0.00011369586,0.054071248,0.09135717,0.05094421,0.06063077,0.0657765,0.051441073,0.122891426,0.11319125,0.018587291,0.043493092,0.06287426,0.11255038,0.045473576,0.055470705,0.041252375,0.07931867,0.032355607,0.07573882,0.06978378,0.08745283,0.043146968,0.06642893,0.090367734,0.06771892,0.07353556,0.054604888,0.049935758,0.09437889,0.24070343,0.09559739,0.060721844,0.045375884,0.07530844,0.09958482,0.094919294,0.041380823,0.06558591,0.06993529,0.048540354,0.085763305,0.11035955,0.09946394,0.06698817,0.07049292,0.051198125,0.063287854,0.03316003,0.08187705,0.10888618,0.06668675,0.049343765,0.15871626,0.06033492,0.09460354,0.082589865,0.10430169,0.07594651,0.03446126,0.083483934,0.073755026,0.07842344,0.070656,0.028681278,0.054222345,0.17679435,0.063654035,0.044634044,0.060480416
0.07,0.106999904,0.07090813,0.089921296,0.0986734,0.09101835,0.106675655,0.093533546,0.0738174,0.07901299,0.063381076,0.06985444,0.047417045,0.091946006,0.061289787,0.09109801,0.051098704,0.08716869,0.079940915,0.10513988,0.06184113,0.07587466,0.14843848,0.03259331,0.05724579,0.11834228,0.070777535,0.070430815,0.068428874,0.08134431,0.09506369,0.06643817,-0.00011369586,0.063108295,0.10662645,0.05928439,0.06968352,0.07648045,0.062390685,0.14908311,0.13731283,0.021685064,0.05075395,0.07335323,0.1313698,0.056037396,0.06476128,0.05186349,0.09506756,0.037921607,0.08840129,0.08260819,0.1021027,0.049990773,0.07746816,0.10543442,0.07976329,0.08657783,0.064448774,0.059477657,0.10942131,0.28519475,0.1120407,0.07084167,0.05290401,0.092446744,0.113864005,0.1131649,0.04855728,0.07642269,0.08188337,0.056630492,0.09473285,0.13569945,0.11601269,0.08050674,0.08268535,0.060732722,0.073860526,0.038543075,0.09555864,0.13263175,0.07777053,0.058842957,0.18488365,0.07287699,0.11094701,0.09633866,0.12173599,0.08985579,0.043088496,0.09739202,0.08604404,0.091436625,0.082433105,0.03340733,0.06358695,0.20641822,0.07595277,0.05206704,0.07046813
0.08,0.12983772,0.08028203,0.10271174,0.11288273,0.1042192,0.12305057,0.106880635,0.0843443,0.09033781,0.072440445,0.07975954,0.055939436,0.1050812,0.07014766,0.10472846,0.059021115,0.10121301,0.091524065,0.12067956,0.070638955,0.08714479,0.17070663,0.039714456,0.06542328,0.13695252,0.080874085,0.08053878,0.078178704,0.09274259,0.10862231,0.075419456,-0.00011369586,0.07241312,0.12189591,0.06762445,0.078736156,0.08718461,0.073509514,0.175275,0.16143435,0.024782836,0.05801487,0.08383238,0.15144986,0.066706866,0.07403535,0.062500864,0.1109719,0.043487668,0.101490945,0.09566823,0.11744648,0.06166768,0.088507384,0.12050104,0.091851026,0.09966192,0.07522029,0.06901944,0.1244635,0.3306255,0.12849092,0.08023247,0.06083089,0.11374587,0.12704986,0.13431987,0.05573386,0.09402737,0.09383145,0.06472045,0.10370228,0.14893499,0.1326105,0.094025195,0.094881564,0.07026723,0.08443326,0.0439263,0.10924989,0.15638208,0.088696,0.06834215,0.21115434,0.08541915,0.12729049,0.11009145,0.13917029,0.10421085,0.05171597,0.11130023,0.09833297,0.10444987,0.09421021,0.038133025,0.07308209,0.23619822,0.08829063,0.059500277,0.08045566
0.089999996,0.15414116,0.089655876,0.11550224,0.12709212,0.11749387,0.1407544,0.12025204,0.09487116,0.101662636,0.081499696,0.08966464,0.065019906,0.118216336,0.07900566,0.11835861,0.06772867,0.116702914,0.10314119,0.13621935,0.07943666,0.09841508,0.1931301,0.047068298,0.07360062,0.16077057,0.09095758,0.09064686,0.08792889,0.104169816,0.12218079,0.084896296,-0.00011369586,0.08285412,0.13716531,0.07596457,0.08778897,0.097984254,0.084628105,0.20334315,0.18555593,0.027880907,0.06527585,0.09427452,0.17332858,0.07746616,0.08330929,0.07314387,0.12717313,0.050578117,0.11458048,0.10872802,0.13279006,0.07318753,0.0995467,0.13556767,0.107802,0.11297694,0.08625823,0.0785611,0.13949347,0.38458568,0.14508948,0.08953303,0.06915128,0.13691843,0.14023575,0.1559399,0.062910676,0.1153377,0.10649419,0.07281238,0.11267176,0.15590179,0.14931536,0.10754359,0.10707778,0.07980186,0.09500587,0.049438685,0.123107195,0.18013248,0.09959805,0.07784128,0.23742515,0.09796125,0.1436339,0.123844355,0.15660453,0.11868048,0.060343564,0.12520838,0.11062196,0.11746311,0.10563287,0.04285878,0.08257714,0.26905483,0.10064089,0.0801802,0.09045595
