X_test,y_hat_0,y_hat_1,y_hat_2,y_hat_3,y_hat_4,y_hat_5,y_hat_6,y_hat_7,y_hat_8,y_hat_9,y_hat_10,y_hat_11,y_hat_12,y_hat_13,y_hat_14,y_hat_15,y_hat_16,y_hat_17,y_hat_18,y_hat_19,y_hat_20,y_hat_21,y_hat_22,y_hat_23,y_hat_24,y_hat_25,y_hat_26,y_hat_27,y_hat_28,y_hat_29,y_hat_30,y_hat_31,y_hat_32,y_hat_33,y_hat_34,y_hat_35,y_hat_36,y_hat_37,y_hat_38,y_hat_39,y_hat_40,y_hat_41,y_hat_42,y_hat_43,y_hat_44,y_hat_45,y_hat_46,y_hat_47,y_hat_48,y_hat_49,y_hat_50,y_hat_51,y_hat_52,y_hat_53,y_hat_54,y_hat_55,y_hat_56,y_hat_57,y_hat_58,y_hat_59,y_hat_60,y_hat_61,y_hat_62,y_hat_63,y_hat_64,y_hat_65,y_hat_66,y_hat_67,y_hat_68,y_hat_69,y_hat_70,y_hat_71,y_hat_72,y_hat_73,y_hat_74,y_hat_75,y_hat_76,y_hat_77,y_hat_78,y_hat_79,y_hat_80,y_hat_81,y_hat_82,y_hat_83,y_hat_84,y_hat_85,y_hat_86,y_hat_87,y_hat_88,y_hat_89,y_hat_90,y_hat_91,y_hat_92,y_hat_93,y_hat_94,y_hat_95,y_hat_96,y_hat_97,y_hat_98,y_hat_99
0.0,-7.361919e-05,0.0006225705,-1.1920929e-07,-1.5348196e-06,-7.338822e-07,3.0070543e-05,-3.874302e-07,-1.2740493e-06,8.512288e-05,-6.2584877e-07,-8.687377e-05,5.662441e-07,-2.3767352e-06,-0.008485131,3.041327e-05,-1.8626451e-06,1.4901161e-07,-5.4801814e-05,3.5762787e-07,-2.1606684e-07,1.7210841e-05,-5.5413693e-08,0.00034119934,-2.1010637e-06,-5.1245093e-05,9.536743e-07,-7.4505806e-07,-1.9073486e-06,-3.0130148e-05,-1.0728836e-06,0.003575664,-0.009402374,-0.0021774098,0.0015627891,-8.791685e-07,-1.4901161e-08,0.00043076277,4.4107437e-06,0.00045269728,0.00035822392,6.4469874e-05,0.0001424998,-4.3958426e-07,-0.0010634065,-4.4703484e-08,0.011445895,0.003891185,-2.0861626e-07,8.940697e-08,1.2695789e-05,0.004246086,-0.011762768,0.00087435544,-0.00052802265,-0.00013947487,-0.00010922924,-4.61936e-07,0.0031869859,-4.0993094e-05,3.2633543e-06,-8.34465e-07,-2.9243529e-06,1.6838312e-06,1.0430813e-07,-1.5497208e-06,0.00027506799,0.00029984862,0.01005654,-0.0005873665,2.2053719e-06,-3.1292439e-07,2.4437904e-05,-0.0028874576,2.2351742e-07,0.00077158585,2.142042e-08,-2.9802322e-08,1.1429191e-05,-0.0008090064,-5.9604645e-08,-0.0001097396,-0.0006136894,0.00042909384,4.576519e-06,0.0012454987,0.0006003082,0.0002001077,-7.8976154e-07,-1.3411045e-07,0.0055024177,8.940697e-08,0.013383448,-4.0978193e-08,3.9488077e-07,5.289912e-07,0.00045387447,-0.00017040968,5.7742e-06,1.0102987e-05,-0.007516045
0.01,0.015693791,0.011377156,0.007640511,0.007920608,0.009476226,0.005266335,0.00801082,0.011310987,0.011142187,0.013368726,0.014338873,0.0066805184,0.0053358898,-0.0022848165,0.013344269,0.015229754,0.020184934,0.013798165,0.018042311,0.0066206157,0.0038332194,0.009512702,0.012298606,0.016931072,0.012300357,0.010689825,0.011246696,0.010818295,0.008859664,0.008026391,0.0154091865,-0.002109073,0.007916577,0.017540962,0.0066118203,0.012846321,0.01290679,0.007453069,0.018212259,0.01663211,0.0061350986,0.006522462,0.0017334148,0.01577869,0.014825612,0.02476032,0.017608821,0.01373896,0.015102819,0.008923218,0.014689088,0.0030546635,0.015545547,0.0031946898,0.016178876,0.011028882,0.00949806,0.016790792,0.016316056,0.006067358,0.015409172,0.012175072,0.016250312,0.014098704,0.012650758,0.013426673,0.013412058,0.01988662,0.002146393,0.012560278,0.016861178,0.008825578,0.011866689,0.008764893,0.011799522,0.016282357,0.011953261,0.015708141,0.007419646,0.011172652,0.010351136,0.012123063,0.014738336,0.008867467,0.012757629,0.010703325,0.010109127,0.012149438,0.007117361,0.019770682,0.010889918,0.027014598,0.012572791,0.0040727183,0.011164531,0.0122175515,0.010146946,0.013471469,0.009753004,0.006341528
0.02,0.03165608,0.023988843,0.017352074,0.015919447,0.019672703,0.010600559,0.016022079,0.023115985,0.022507843,0.02673775,0.029002361,0.016048491,0.011734754,0.007283627,0.026660576,0.030461416,0.04034151,0.027678952,0.03608422,0.015204258,0.007649258,0.020602768,0.025647495,0.033864304,0.02570042,0.021486849,0.022556022,0.02175691,0.018507272,0.017076313,0.028024927,0.0051777996,0.019879743,0.03405179,0.013224393,0.025883377,0.025717914,0.016285047,0.03618735,0.033502176,0.013786294,0.013415739,0.0048194155,0.03262055,0.031499207,0.039354533,0.0313527,0.027156264,0.030582756,0.020325392,0.025265634,0.01787214,0.030216761,0.007052511,0.032497346,0.02219003,0.019010305,0.030489072,0.032798983,0.012136709,0.030818999,0.025358204,0.03262184,0.02802293,0.02596423,0.026873522,0.026667513,0.030171014,0.004707262,0.026112497,0.033722848,0.018433683,0.026620403,0.017529607,0.022827288,0.032792628,0.024432253,0.031637385,0.016342059,0.02339977,0.022412375,0.024859883,0.029954419,0.018047387,0.024269968,0.02121818,0.020781606,0.02446261,0.014234893,0.03422472,0.02322632,0.040645733,0.02516529,0.008334346,0.023332171,0.023982286,0.021026775,0.027077436,0.01949609,0.020199548
0.03,0.047703154,0.037798315,0.027404964,0.02407004,0.030334268,0.016438063,0.024033241,0.03547147,0.03548346,0.040107086,0.04510411,0.029806852,0.018850505,0.021500412,0.040043533,0.045883432,0.06049007,0.041559793,0.053756177,0.02405361,0.011535406,0.032942854,0.040356047,0.050698265,0.039764524,0.032283932,0.03386545,0.03417477,0.028740928,0.027796984,0.040824566,0.012856752,0.034678675,0.051263064,0.019837067,0.038936287,0.038915128,0.025230676,0.05440788,0.050905272,0.022913657,0.02180092,0.008337803,0.049454927,0.048510507,0.05459048,0.045102432,0.04208474,0.04606252,0.03371246,0.03697884,0.03268969,0.04488787,0.011136845,0.049531728,0.036306065,0.03086558,0.04418716,0.05069296,0.018371716,0.04493791,0.038968656,0.048992924,0.041946962,0.04013759,0.040517285,0.0416942,0.041333072,0.007235825,0.04118648,0.05058436,0.029090934,0.04148437,0.027012348,0.034041688,0.049569264,0.03708208,0.047647938,0.02526436,0.037257105,0.035715237,0.037651204,0.045881584,0.027411105,0.037040085,0.033685207,0.03226094,0.03876856,0.023213841,0.04867883,0.035562783,0.05425529,0.03940476,0.012888707,0.03577704,0.036962196,0.032413512,0.04152906,0.0292392,0.03405747
0.04,0.06375032,0.05349946,0.037457824,0.033144034,0.041167606,0.023873277,0.032044537,0.047826953,0.04909363,0.05347614,0.062131457,0.04621488,0.026311032,0.03755839,0.054846134,0.06158109,0.08135024,0.055432774,0.07075636,0.033489503,0.015981749,0.04674802,0.056919463,0.067624494,0.053820044,0.042993426,0.045174837,0.047462627,0.03908713,0.038837314,0.05404586,0.02157994,0.05239349,0.0686425,0.027265549,0.0519332,0.052126944,0.034176335,0.07262832,0.068586096,0.032372914,0.032823965,0.011851005,0.066272855,0.06554192,0.069854066,0.05927276,0.062304676,0.061559826,0.048798874,0.04878591,0.047507152,0.060531013,0.023119047,0.06953257,0.05190664,0.045366853,0.05786714,0.06862089,0.025031459,0.058993623,0.052579347,0.065473974,0.056456402,0.055324763,0.05455029,0.057427227,0.05249531,0.009921588,0.056291312,0.06875928,0.04356987,0.057599947,0.036706224,0.047067,0.06872076,0.04973221,0.06441212,0.034765452,0.05219756,0.049017914,0.050883763,0.061808556,0.038068563,0.051623225,0.04645869,0.04497814,0.05408998,0.03571979,0.063446194,0.04824218,0.06785743,0.054099303,0.019583784,0.048436813,0.050149918,0.046882465,0.0579011,0.039423555,0.047997426
0.05,0.0797975,0.07065511,0.047889054,0.043519422,0.053160895,0.033777557,0.040055744,0.060223795,0.06862323,0.06684537,0.080952995,0.06360614,0.034841843,0.055104427,0.07022268,0.0782814,0.10296575,0.06927687,0.08775501,0.045903407,0.020756707,0.061424762,0.07348306,0.08501284,0.06793201,0.05452162,0.056484334,0.061851457,0.04955706,0.05204439,0.0686028,0.031459976,0.07044693,0.086205095,0.04186947,0.06492175,0.06607075,0.04386702,0.091876715,0.086422995,0.043299578,0.044696987,0.015658416,0.0831368,0.08297766,0.086071864,0.07371956,0.084021404,0.07708906,0.06514838,0.061508402,0.06225662,0.076177664,0.037164286,0.09036529,0.0691594,0.061862275,0.07167368,0.087705635,0.03386407,0.07292853,0.067995876,0.08199034,0.07183653,0.07189581,0.06871992,0.07323203,0.06365753,0.012961,0.07251236,0.08747675,0.058867104,0.073865086,0.04661846,0.06086945,0.087934084,0.06265326,0.08187954,0.051209144,0.06718707,0.0632864,0.06461384,0.078565314,0.051686063,0.06805731,0.060110062,0.059496984,0.07103507,0.049164794,0.07869466,0.063730285,0.08145954,0.06879383,0.026279025,0.06190484,0.06333771,0.06269455,0.076067746,0.050416134,0.061985753
0.06,0.09584474,0.08800015,0.058445662,0.056089394,0.06617291,0.044694893,0.048066936,0.07352496,0.08862574,0.08024526,0.10072083,0.08385591,0.04480637,0.07514063,0.085599326,0.095939115,0.12457162,0.083468564,0.10673849,0.058751293,0.02553159,0.07636416,0.09039106,0.10240106,0.083638355,0.0683755,0.06779373,0.077078655,0.060925454,0.06681365,0.08637096,0.042581577,0.08859851,0.103982255,0.05875191,0.07881243,0.08001448,0.055472523,0.11346322,0.10516037,0.054946743,0.05827932,0.019525662,0.10024036,0.100507125,0.10398279,0.089763135,0.10666782,0.09283053,0.08159475,0.07436155,0.078461096,0.09182439,0.05192381,0.111201555,0.086891696,0.079986036,0.08553439,0.11036356,0.042850826,0.087320805,0.09046011,0.09850657,0.08876169,0.08945431,0.08288938,0.089036666,0.07704931,0.016357765,0.08963977,0.10656189,0.075747766,0.091107465,0.05677238,0.075093456,0.107156426,0.07588887,0.09936622,0.068015225,0.083966404,0.07924593,0.079568975,0.09634571,0.066032775,0.08488229,0.0750788,0.07562637,0.08972466,0.065956585,0.09411426,0.08325513,0.09558394,0.08395958,0.034613334,0.07622152,0.07798934,0.07866591,0.094554275,0.061408944,0.0778757
0.07,0.112103604,0.10596299,0.069230214,0.06919867,0.079524666,0.05564233,0.05630236,0.0877809,0.10863069,0.09395072,0.12073585,0.10672335,0.05584357,0.09512487,0.10097593,0.1137847,0.14592576,0.098262,0.12817793,0.07157349,0.030527994,0.0918977,0.10735435,0.1207162,0.09970847,0.08265287,0.07910308,0.09388007,0.07303807,0.0829003,0.10470869,0.056946147,0.10675097,0.12192029,0.0759331,0.09292986,0.09395826,0.06721307,0.13504979,0.12469398,0.06723615,0.07171963,0.04149448,0.11741063,0.11772472,0.12369977,0.10621312,0.12961163,0.10882073,0.09803341,0.088406816,0.09567049,0.10747907,0.06794138,0.13289833,0.10560942,0.09913352,0.09939502,0.13366677,0.051992882,0.10185994,0.113735065,0.115023084,0.10588129,0.107288465,0.09825648,0.10484148,0.09302772,0.019792885,0.10676724,0.12650226,0.09276972,0.10902013,0.06697419,0.08931756,0.12639554,0.08912449,0.11685261,0.086395785,0.10125971,0.09520496,0.09487244,0.11459923,0.08032288,0.101707235,0.09134887,0.09255053,0.10841411,0.08304494,0.10967752,0.10327324,0.11072439,0.10017645,0.044166498,0.09070384,0.09484181,0.09594068,0.115321055,0.072401404,0.09376523
0.08,0.12878424,0.12473597,0.08173534,0.0843443,0.093087584,0.06658992,0.06773471,0.104233496,0.12863784,0.10765572,0.141013,0.12992004,0.06688041,0.115174234,0.11675295,0.13142651,0.16757527,0.11297854,0.14970419,0.08439217,0.03680241,0.10848769,0.124833636,0.14150216,0.11678344,0.09694037,0.09077493,0.112125814,0.0905709,0.10029635,0.123153046,0.07374598,0.12490382,0.1425188,0.09336232,0.10894806,0.10930869,0.0792948,0.15663633,0.14435071,0.08092498,0.08544889,0.06729474,0.13511169,0.13775572,0.14390342,0.12306447,0.15354419,0.124810934,0.11446814,0.10295792,0.114381656,0.12314994,0.085455395,0.15479158,0.12597577,0.11863047,0.11326427,0.16134343,0.061634887,0.119627416,0.13627948,0.1340366,0.1230009,0.12559763,0.115219995,0.12122988,0.109370746,0.023778692,0.12467368,0.14656079,0.10979926,0.12741074,0.077176005,0.1039557,0.14563853,0.10236004,0.13433936,0.105890095,0.11848934,0.11116431,0.110805966,0.13285233,0.09401895,0.1186842,0.11318581,0.10957338,0.12710369,0.10013266,0.12524074,0.12424943,0.12701833,0.116393104,0.054280095,0.10672293,0.1122995,0.11352837,0.13697472,0.083394036,0.10965525
0.089999996,0.14545712,0.14361596,0.09424068,0.10160862,0.10680254,0.07829108,0.08389603,0.12081628,0.14876145,0.12136087,0.1606428,0.15296727,0.07796032,0.13547958,0.13309303,0.1494924,0.1895647,0.12764819,0.17123047,0.09747847,0.043221563,0.12577112,0.1436505,0.163601,0.1338258,0.11226907,0.10607485,0.13158838,0.10864203,0.11873314,0.14303738,0.09139514,0.14336988,0.16379914,0.11130679,0.127517,0.12569168,0.095034525,0.17822297,0.16454841,0.09461374,0.105053976,0.09341602,0.1529673,0.15984645,0.16410746,0.13956368,0.178134,0.1415028,0.13093065,0.11874929,0.13390209,0.13882086,0.10384078,0.1766851,0.14744104,0.13874245,0.12767263,0.19011328,0.075242475,0.14036748,0.15925062,0.15299562,0.1401791,0.14405331,0.13218354,0.13884073,0.12571368,0.027875438,0.14326964,0.16678157,0.12689567,0.14580074,0.0884632,0.11918509,0.16493167,0.11559568,0.15361199,0.12637605,0.13571545,0.12957102,0.12703404,0.15110563,0.10816731,0.13662364,0.13513988,0.12662575,0.14579329,0.11752867,0.14082505,0.14555621,0.14510618,0.13309416,0.06522798,0.122367896,0.13001874,0.13078135,0.16152024,0.094694726,0.12794521
