X_test,y_pre_0,y_pre_1,y_pre_2,y_pre_3,y_pre_4,y_pre_5,y_pre_6,y_pre_7,y_pre_8,y_pre_9,y_pre_10,y_pre_11,y_pre_12,y_pre_13,y_pre_14,y_pre_15,y_pre_16,y_pre_17,y_pre_18,y_pre_19,y_pre_20,y_pre_21,y_pre_22,y_pre_23,y_pre_24,y_pre_25,y_pre_26,y_pre_27,y_pre_28,y_pre_29,y_pre_30,y_pre_31,y_pre_32,y_pre_33,y_pre_34,y_pre_35,y_pre_36,y_pre_37,y_pre_38,y_pre_39,y_pre_40,y_pre_41,y_pre_42,y_pre_43,y_pre_44,y_pre_45,y_pre_46,y_pre_47,y_pre_48,y_pre_49,y_pre_50,y_pre_51,y_pre_52,y_pre_53,y_pre_54,y_pre_55,y_pre_56,y_pre_57,y_pre_58,y_pre_59,y_pre_60,y_pre_61,y_pre_62,y_pre_63,y_pre_64,y_pre_65,y_pre_66,y_pre_67,y_pre_68,y_pre_69,y_pre_70,y_pre_71,y_pre_72,y_pre_73,y_pre_74,y_pre_75,y_pre_76,y_pre_77,y_pre_78,y_pre_79,y_pre_80,y_pre_81,y_pre_82,y_pre_83,y_pre_84,y_pre_85,y_pre_86,y_pre_87,y_pre_88,y_pre_89,y_pre_90,y_pre_91,y_pre_92,y_pre_93,y_pre_94,y_pre_95,y_pre_96,y_pre_97,y_pre_98,y_pre_99
0.0,-0.29902145,0.48748928,0.2787803,-0.5807372,-0.07526514,-0.012037825,-0.46031183,-0.30194312,-0.2820863,0.13365838,0.26993003,0.5971783,0.33395845,0.32936552,0.26285058,0.36935565,-0.1985409,0.308243,0.34973073,-0.21321467,0.3432492,-0.31647977,-0.37722313,0.16783309,-0.35909304,0.4731696,-0.5387667,-0.0391732,0.63506085,0.08710752,0.057078853,-0.040362038,-0.59679884,0.20264645,-0.09438401,0.48680013,0.71551645,0.18937142,0.6800425,0.1273751,-0.8824469,0.17963207,-0.0031745285,0.023784652,0.5265542,0.26614317,0.45649153,0.21789384,0.25782531,-0.09809536,-0.30099693,-0.23488054,0.43604958,0.4308514,0.14331599,0.16038834,0.045417428,0.08082225,-0.06920995,-0.8354254,0.49355757,0.69442225,0.34785286,0.5117539,0.3348413,-0.30213133,-0.06806346,0.53906876,-0.44953057,-0.2051327,0.09039262,-0.24637695,0.29079866,-0.10963801,0.32651263,-0.08109358,-0.4186287,-0.15398875,0.4989644,-0.36062694,-0.24100116,-0.12113944,0.18886715,0.08387962,-0.026887417,0.20425384,-0.7912353,-0.53970593,0.77409744,0.05644445,-0.377058,-0.30675936,-0.3391267,0.035479933,-0.35863918,-0.33688998,-0.4489875,-0.34028888,-0.023552626,0.822876
0.01,-0.29661983,0.4889572,0.28063855,-0.5850769,-0.075731725,-0.011369407,-0.4585712,-0.30298963,-0.28315526,0.13248673,0.27104956,0.59835094,0.3356769,0.33014625,0.2636253,0.36854306,-0.19565925,0.30989635,0.35100317,-0.2115376,0.34401596,-0.31673902,-0.37864166,0.16957128,-0.3615669,0.47346556,-0.5373133,-0.040177085,0.6314825,0.08865199,0.057416946,-0.03949772,-0.59585667,0.19971207,-0.094272,0.4858151,0.7191339,0.19040945,0.6766026,0.12567838,-0.8820196,0.17850095,-0.0064649396,0.022788286,0.5240097,0.26613772,0.459803,0.2188125,0.25811988,-0.09716463,-0.2969778,-0.23293272,0.43387544,0.43079215,0.14487019,0.16245885,0.04640454,0.08023497,-0.06860572,-0.8321798,0.4904908,0.692631,0.3488182,0.5124934,0.33562887,-0.2993583,-0.06983323,0.5397024,-0.44726422,-0.20526624,0.090151295,-0.24419013,0.28958324,-0.112299144,0.32281435,-0.08135316,-0.41792932,-0.15463625,0.5028479,-0.36288083,-0.24880141,-0.122045845,0.19194049,0.083143234,-0.020621687,0.20129222,-0.7929207,-0.5410208,0.77377415,0.057510495,-0.378293,-0.30591443,-0.33469605,0.032777175,-0.35757256,-0.3367312,-0.44706795,-0.3411154,-0.022849888,0.82385886
0.02,-0.29559907,0.49042493,0.2824363,-0.58938384,-0.076198325,-0.010930242,-0.4562788,-0.3041039,-0.28422442,0.13161483,0.27181214,0.59970874,0.3373956,0.3304172,0.2643999,0.3677304,-0.19324452,0.31154963,0.35230243,-0.20984107,0.345199,-0.31699815,-0.37936294,0.17130685,-0.36400777,0.47375575,-0.5358597,-0.04099752,0.62733805,0.09034171,0.057623968,-0.03879837,-0.5955401,0.19723782,-0.09392227,0.48483008,0.72283256,0.19144753,0.67287993,0.12343294,-0.8817343,0.17737994,-0.009735711,0.021791935,0.521465,0.26656097,0.46309662,0.21994452,0.25841457,-0.09636471,-0.2928255,-0.23098502,0.43217617,0.43076497,0.14638801,0.1642646,0.047994316,0.07952102,-0.067995846,-0.829389,0.48725167,0.69085574,0.34947732,0.51323295,0.3367246,-0.2965855,-0.07137377,0.5403604,-0.44499794,-0.2051794,0.09010397,-0.2422507,0.28839654,-0.11496034,0.3191159,-0.081603944,-0.4172224,-0.15528399,0.5065109,-0.3647589,-0.25655785,-0.12336601,0.19518083,0.08260384,-0.0140416175,0.19833058,-0.7946894,-0.5422499,0.77345145,0.05882349,-0.37969407,-0.30450407,-0.33041716,0.030138358,-0.3568706,-0.336507,-0.44528198,-0.34185076,-0.022832826,0.82484174
0.03,-0.29463768,0.49191752,0.284234,-0.5936908,-0.07626608,-0.010497123,-0.45394298,-0.30547708,-0.28529337,0.13131407,0.2725003,0.6013533,0.3391141,0.33058542,0.2652195,0.3665748,-0.19087896,0.3131324,0.3536499,-0.20781235,0.34665185,-0.31725737,-0.38010687,0.17320722,-0.36636263,0.47380778,-0.5343282,-0.041517615,0.6231061,0.09212623,0.05783114,-0.038230218,-0.5952316,0.1950121,-0.093481615,0.48384508,0.7265311,0.19248568,0.66899765,0.12152559,-0.88165766,0.17618075,-0.012970619,0.020795524,0.51879233,0.267349,0.46598786,0.22118211,0.25870922,-0.09558284,-0.2886732,-0.22907108,0.43047678,0.4307617,0.14788643,0.16609772,0.049467653,0.07878833,-0.06730446,-0.82660365,0.48382464,0.688871,0.34994587,0.5144638,0.33781815,-0.2939744,-0.07301175,0.54124284,-0.4426834,-0.20513871,0.09012322,-0.24091117,0.2876634,-0.11762154,0.3154041,-0.08199997,-0.41651583,-0.15592752,0.50996226,-0.36646354,-0.264314,-0.124661714,0.198749,0.08168921,-0.006750703,0.19538364,-0.79649794,-0.5434499,0.7731359,0.060136206,-0.38108686,-0.30348906,-0.32708275,0.027564496,-0.35658503,-0.3360693,-0.44361085,-0.34249228,-0.023220375,0.82551444
0.04,-0.29367626,0.49412516,0.2859713,-0.59799767,-0.07591447,-0.010063887,-0.45115224,-0.3069638,-0.28636247,0.13129674,0.27334183,0.6034907,0.34084934,0.33058974,0.26589495,0.36538216,-0.18851331,0.31431493,0.3550895,-0.2062008,0.3473593,-0.31689706,-0.38041234,0.17510313,-0.36823463,0.4736055,-0.5322596,-0.041745633,0.6188744,0.09413538,0.05803831,-0.037662115,-0.5949806,0.19278654,-0.09306747,0.48296422,0.7302296,0.1942246,0.66531575,0.11986257,-0.8818121,0.17460403,-0.016185544,0.019799069,0.51619524,0.26832592,0.4681397,0.22268742,0.25902238,-0.09477553,-0.28482452,-0.22751302,0.42877752,0.430893,0.14938492,0.16789483,0.05110857,0.0777485,-0.06655644,-0.8238183,0.48103976,0.6869707,0.3500917,0.5150636,0.3386234,-0.29179507,-0.0747522,0.542093,-0.44033286,-0.20568743,0.08997734,-0.23959732,0.28669584,-0.12030985,0.3119346,-0.082293525,-0.41605026,-0.15659228,0.51309603,-0.36811453,-0.27207038,-0.12572935,0.20266709,0.08052309,-1.4811754e-05,0.19241452,-0.798125,-0.54502094,0.7728206,0.061591193,-0.38247958,-0.30270934,-0.32401645,0.024990499,-0.35594043,-0.33502194,-0.44177407,-0.34286568,-0.02374459,0.8260857
0.05,-0.29271454,0.49646145,0.2873763,-0.60230464,-0.07513669,-0.009315243,-0.4474823,-0.30843645,-0.28769925,0.13094346,0.2744493,0.6057894,0.342974,0.3305857,0.26578483,0.36432108,-0.18614772,0.31507677,0.35651284,-0.204759,0.34756938,-0.31641734,-0.38051605,0.17695019,-0.3699632,0.47363934,-0.53005177,-0.04194483,0.61464274,0.096150436,0.058245525,-0.037219163,-0.59471524,0.19043161,-0.09277223,0.48219174,0.7338307,0.19615304,0.6618984,0.11805175,-0.882253,0.17302725,-0.019060709,0.018299326,0.51378584,0.26930648,0.46988088,0.22419316,0.25943783,-0.093978345,-0.28099385,-0.22597393,0.42717576,0.4312565,0.15089053,0.16953965,0.053453326,0.07729978,-0.065808296,-0.8213663,0.47879678,0.6853721,0.35023767,0.5155243,0.33911276,-0.2901034,-0.07652098,0.5426678,-0.43840262,-0.20644611,0.090321705,-0.23828351,0.28546107,-0.1232093,0.3088012,-0.082053155,-0.41580248,-0.15730488,0.51598996,-0.36976558,-0.2793251,-0.12707865,0.20626926,0.07912181,0.00672099,0.18939386,-0.79962385,-0.54692006,0.7725049,0.06301706,-0.3840162,-0.3018151,-0.32102814,0.022416532,-0.35525382,-0.33394432,-0.4399129,-0.34268427,-0.024381958,0.82620025
0.06,-0.2915259,0.49879783,0.2886963,-0.6065333,-0.07329629,-0.008197274,-0.44362527,-0.309898,-0.28921562,0.13025515,0.27693754,0.60733116,0.34506238,0.3305816,0.2656748,0.36279264,-0.18382013,0.31588307,0.35774487,-0.20333573,0.34710902,-0.31594035,-0.3807879,0.17882484,-0.37199873,0.4735912,-0.5277642,-0.04223554,0.6105001,0.0984472,0.05845292,-0.036849726,-0.5944434,0.18799545,-0.09243237,0.48141927,0.7373814,0.198379,0.6590185,0.11596095,-0.88292295,0.17070398,-0.021935955,0.01660347,0.51166,0.2699677,0.47124493,0.22569859,0.2599109,-0.09294011,-0.2772,-0.22474006,0.42592144,0.4318373,0.15243697,0.17118421,0.055764392,0.07696274,-0.064883545,-0.8192387,0.47660887,0.6846812,0.3503836,0.51573896,0.3394718,-0.28896126,-0.07817838,0.5429998,-0.43647262,-0.2076664,0.09057836,-0.2365953,0.2844167,-0.12610312,0.30532408,-0.081652895,-0.4155632,-0.1582706,0.5187011,-0.3714167,-0.28453228,-0.12837785,0.20957655,0.07772061,0.013456807,0.18637258,-0.80112314,-0.54832745,0.77212226,0.0639752,-0.3859534,-0.30071637,-0.31838644,0.019650787,-0.35459492,-0.33312783,-0.43808508,-0.3427201,-0.024962112,0.82585347
0.07,-0.2902084,0.50113416,0.289562,-0.61071855,-0.07192177,-0.006817337,-0.44011134,-0.31124932,-0.29069626,0.12995395,0.27974635,0.6088415,0.3474827,0.33057773,0.26558557,0.3611615,-0.18187976,0.3166185,0.3589769,-0.20166177,0.3467014,-0.31570616,-0.38142487,0.18068239,-0.37434655,0.47371298,-0.5256653,-0.04252276,0.60668975,0.10097849,0.05884321,-0.036397643,-0.59426534,0.18569884,-0.09207889,0.480647,0.7410483,0.20031749,0.65609276,0.1138904,-0.8833409,0.16809627,-0.024792358,0.014907628,0.50979155,0.27021444,0.47273713,0.22720405,0.26031524,-0.09215078,-0.27341703,-0.2245332,0.4245447,0.43248618,0.15404396,0.17282894,0.058051378,0.07656863,-0.06377901,-0.81743854,0.47491953,0.68405926,0.3505054,0.5162032,0.3395214,-0.28786978,-0.080252685,0.54353905,-0.43424252,-0.2090643,0.09080565,-0.23489268,0.28366485,-0.12896022,0.30175716,-0.081126675,-0.41536865,-0.15948562,0.5212743,-0.37306768,-0.28958875,-0.12941328,0.21284917,0.07608257,0.020192653,0.18334956,-0.8027247,-0.5496198,0.7715671,0.06503231,-0.38789,-0.2996001,-0.31578684,0.016384661,-0.35415795,-0.3330346,-0.43625706,-0.34273672,-0.02554226,0.82550657
0.08,-0.2888909,0.5034704,0.29042783,-0.61477625,-0.07056329,-0.005159322,-0.4365601,-0.3114826,-0.29194155,0.12876303,0.28257623,0.610477,0.3500665,0.3305737,0.26534504,0.35953036,-0.17972729,0.3182447,0.3603569,-0.1996796,0.346546,-0.3156016,-0.38185763,0.18239403,-0.37669462,0.47335824,-0.5236945,-0.0422519,0.6028793,0.10351574,0.059522763,-0.03593909,-0.5941045,0.18346971,-0.09212746,0.4798745,0.7446587,0.20213343,0.65323687,0.11188723,-0.8837586,0.16546717,-0.027466454,0.013417035,0.5079712,0.27056947,0.47383678,0.22870943,0.26042393,-0.09163104,-0.26959702,-0.22440831,0.42323095,0.43355265,0.15595168,0.17474271,0.060338557,0.07617462,-0.06263773,-0.8158254,0.47402415,0.6829833,0.35043278,0.51666725,0.33951235,-0.28690064,-0.08241864,0.5440486,-0.4316328,-0.21056002,0.09091942,-0.23304088,0.28291303,-0.13165565,0.2981903,-0.08062653,-0.41521928,-0.16070047,0.5244974,-0.3749559,-0.29451618,-0.13044867,0.21592602,0.07502861,0.026827544,0.18060589,-0.80431366,-0.55085754,0.7712672,0.06608912,-0.3898267,-0.29848394,-0.3131874,0.013039842,-0.35377783,-0.33290327,-0.43428996,-0.34275338,-0.026122376,0.8251599
0.089999996,-0.28757328,0.505627,0.2912935,-0.61874986,-0.06870982,-0.0034401808,-0.43290836,-0.3108787,-0.29304636,0.1270711,0.28537148,0.6123085,0.3526343,0.33056974,0.2650449,0.35789928,-0.17733246,0.32041484,0.36244124,-0.1976755,0.3464949,-0.31549692,-0.3821777,0.18408197,-0.37898183,0.47307226,-0.5217239,-0.042021766,0.599069,0.10605292,0.059750825,-0.035318155,-0.5938138,0.18126228,-0.09228293,0.47864297,0.7481476,0.20331603,0.65084577,0.109955266,-0.88417643,0.16291896,-0.03016895,0.012311876,0.5061509,0.27096245,0.47436273,0.23021501,0.26029086,-0.09132227,-0.2660791,-0.22426985,0.4221369,0.4348565,0.15839112,0.17667793,0.06233187,0.075686604,-0.061499014,-0.8142329,0.47335386,0.68176186,0.35100806,0.51713157,0.3399818,-0.28558075,-0.084584646,0.54452986,-0.42806503,-0.21228784,0.0906525,-0.23098642,0.28216133,-0.13424821,0.29496512,-0.08008489,-0.4151968,-0.1619155,0.52838546,-0.37700796,-0.29924762,-0.13182512,0.21880916,0.07444489,0.03344387,0.17829108,-0.8059027,-0.5520685,0.7721052,0.06742778,-0.39173135,-0.29735,-0.31103733,0.009671211,-0.35326576,-0.33274478,-0.43215498,-0.3427586,-0.026702493,0.82481325
